Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,8A,12A)",2,1,"(2B,7B,14A)",4,1
"(2B,7B,10A)",2,1,"(2B,7B,14B)",4,1
"(4A,6B,6B)",200,1,"(2A,8B,10A)",4,1
"(2A,8B,14B)",6,1,"(2A,8B,14A)",6,1
"(2A,8B,12A)",6,1,"(3A,4D,10A)",21,1
"(3A,4D,14A)",9,1,"(3A,4D,14B)",3,1
"(2B,7B,12A)",3,1,"(2B,7A,10A)",4,1
"(2B,7A,14A)",3,1,"(2B,7A,14B)",2,1
"(2B,7A,12A)",3,1,"(2A,2C,2C,4B)",1,50
"(2A,2C,2C,4A)",1,108,"(2A,2C,3A,4D)",1,378
"(2A,2A,4C,4D)",1,200,"(2A,2A,4D,6B)",1,1080
"(2A,2A,2C,8B)",1,136,"(2B,2C,4D,4D)",1,4
"(2B,2C,2C,4C)",1,16,"(2B,2C,2C,6B)",1,66
"(2B,2C,3A,4B)",1,96,"(2B,2C,3A,4A)",1,258
"(2A,2B,4D,5A)",1,330,"(2A,2B,4D,6A)",1,204
"(2A,2B,2C,8A)",1,44,"(2A,2B,2C,7A)",1,63
"(2A,2B,2C,7B)",1,63,"(2A,2B,4B,4C)",1,60
"(2A,2B,4B,6B)",1,222,"(2A,2B,4A,4C)",1,160
"(2A,2B,4A,6B)",1,984,"(2A,2B,3A,4D)",1,276
"(2A,3A,3A,4D)",1,480,"(2B,2B,4D,8B)",1,40
"(2B,2B,2C,10A)",1,20,"(2B,2B,2C,14B)",1,14
"(2B,2B,2C,14A)",1,14,"(2B,2B,2C,12A)",1,24
"(2B,2B,4B,5A)",1,45,"(2B,2B,4B,6A)",1,72
"(2B,2B,4C,4C)",1,16,"(2B,2B,4A,5A)",1,350
"(2B,2B,4A,6A)",1,168,"(2A,2B,2B,2C,2C)",1,312
"(2A,2A,2B,2B,4B)",1,1024,"(2A,2A,2B,2B,4A)",1,4864
"(2B,2B,4C,6B)",1,96,"(2B,2B,6B,6B)",2,"66, 228"
"(2B,2B,3A,8A)",1,80,"(2B,2B,3A,7B)",2,"56, 35"
"(2B,2B,3A,7A)",2,"56, 35","(2A,2B,2B,2B,4C)",1,368
"(2A,2B,2B,2B,6B)",1,1404,"(2B,2B,2B,2B,5A)",1,300
"(2B,2B,2B,2B,6A)",1,432,"(2A,2A,2A,2B,4D)",1,5232
"(2B,2B,2B,2C,3A)",1,648,"(2A,2A,2B,2B,2B,2B)",1,6704
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,4A,7A)",2,1,"(2C,4A,7B)",2,1
"(2C,4C,8A)",3,1,"(2C,4C,8B)",3,1
"(2C,5A,6B)",11,1,"(2C,6A,6B)",7,1
"(2C,3A,14A)",2,1,"(2C,3A,14B)",2,1
"(2B,2C,2C,4D)",1,16,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4A,5A,5A)",396,1,"(4A,4A,8A)",568,1
"(4A,4A,7B)",206,1,"(4A,4A,7A)",206,1
"(3A,5A,8A)",170,1,"(3A,5A,7B)",59,1
"(3A,5A,7A)",59,1,"(3A,4A,15B)",57,1
"(3A,4A,15A)",57,1,"(3A,4A,11B)",63,1
"(3A,4A,11A)",63,1,"(3A,4A,14B)",51,1
"(3A,4A,14A)",51,1,"(3A,6A,8A)",350,1
"(3A,6A,7B)",138,1,"(3A,6A,7A)",138,1
"(3A,3A,23B)",6,1,"(3A,3A,23A)",6,1
"(2A,8A,15B)",28,1,"(2A,8A,15A)",28,1
"(2A,8A,11B)",28,1,"(2A,8A,11A)",28,1
"(2A,8A,14B)",26,1,"(2A,8A,14A)",26,1
"(2A,5A,23A)",6,1,"(2A,5A,23B)",6,1
"(2A,7B,15B)",11,1,"(2A,7B,15A)",11,1
"(2A,7B,11B)",12,1,"(2A,7B,11A)",12,1
"(2A,7B,14B)",5,1,"(2A,7B,14A)",12,1
"(2A,7A,15B)",11,1,"(2A,7A,15A)",11,1
"(2A,7A,11B)",12,1,"(2A,7A,11A)",12,1
"(2A,7A,14B)",12,1,"(2A,7A,14A)",5,1
"(2A,6A,23B)",14,1,"(2A,6A,23A)",14,1
"(4A,6A,6A)",1220,1,"(4A,5A,6A)",776,1
"(2A,3A,3A,4A)",1,11784,"(2A,2A,4A,5A)",1,10680
"(2A,2A,4A,6A)",1,16656,"(2A,2A,3A,8A)",1,4352
"(2A,2A,3A,7B)",1,1799,"(2A,2A,3A,7A)",1,1799
"(2A,2A,2A,23B)",2,"69, 69","(2A,2A,2A,23A)",2,"69, 69"
"(2A,2A,2A,2A,4A)",1,244224,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4B,4B,12A)",484,1,"(4B,4B,14B)",284,1
"(4B,4B,14A)",284,1,"(4B,4B,11A)",315,1
"(4B,4B,10A)",300,1,"(4B,4B,15B)",288,1
"(4B,4B,15A)",288,1,"(4B,4B,6B)",327,1
"(4B,6A,8A)",1736,1,"(4B,6A,7B)",444,1
"(4B,6A,7A)",444,1,"(4B,4C,6A)",510,1
"(4A,4B,8A)",182,1,"(4B,4B,7B)",44,1
"(4A,4B,7A)",182,1,"(4A,4B,4C)",22,1
"(4B,5A,8A)",461,1,"(4B,5A,7B)",104,1
"(4B,5A,7A)",104,1,"(4B,4C,5A)",147,1
"(3B,4B,8A)",128,1,"(3B,4B,7B)",62,1
"(3B,4B,7A)",62,1,"(3B,4B,4C)",38,1
"(6A,6A,6A)",7516,1,"(4A,6A,6A)",652,1
"(4A,4A,6A)",32,1,"(2A,8A,21B)",17,1
"(2A,8A,21A)",17,1,"(2A,8A,23B)",9,1
"(2A,8A,23A)",9,1,"(2A,8A,12B)",41,1
"(2A,12A,12A)",48,1,"(2A,12A,14B)",49,1
"(2A,14B,14B)",31,1,"(2A,12A,14A)",49,1
"(2A,14A,14B)",12,1,"(2A,14A,14A)",31,1
"(2A,7B,21B)",3,1,"(2A,7B,21A)",7,1
"(2A,7B,23B)",3,1,"(2A,7B,23A)",3,1
"(2A,7B,12B)",11,1,"(2A,7A,21B)",7,1
"(2A,7A,23A)",3,1,"(2A,7A,12B)",3,1
"(2A,11A,12A)",11,1,"(2A,11A,14B)",43,1
"(2A,7A,23B)",3,1,"(2A,10A,11A)",21,1
"(2A,11A,14A)",22,1,"(2A,11A,11A)",19,1
"(2A,10A,12A)",30,1,"(2A,10A,14B)",26,1
"(2A,10A,14A)",26,1,"(2A,10A,10A)",22,1
"(2A,12A,15B)",47,1,"(2A,14B,15B)",24,1
"(2A,14A,15B)",24,1,"(2A,11A,15B)",26,1
"(2A,10A,15B)",21,1,"(2A,15B,15B)",19,1
"(2A,12A,15A)",47,1,"(2A,14B,15A)",24,1
"(2A,14A,15A)",24,1,"(2A,11A,15A)",26,1
"(2A,10A,15A)",21,1,"(2A,15A,15B)",33,1
"(2A,15A,15A)",19,1,"(2A,6B,12A)",28,1
"(2A,6B,14B)",33,1,"(2A,6B,14A)",33,1
"(2A,6B,11A)",31,1,"(2A,6B,10A)",15,1
"(2A,6B,15B)",27,1,"(2A,6B,15A)",27,1
"(2A,6B,6B)",6,1,"(2A,4C,21B)",7,1
"(2A,4C,21A)",7,1,"(2A,4C,23B)",7,1
"(2A,4C,23A)",7,1,"(2A,4C,12B)",6,1
"(3A,8A,8A)",238,1,"(3A,4B,21B)",30,1
"(3A,4B,21A)",30,1,"(3A,4B,23B)",19,1
"(3A,4B,23A)",19,1,"(3A,4B,12B)",54,1
"(3A,6A,12A)",412,1,"(3A,6A,14B)",218,1
"(3A,6A,14A)",218,1,"(3A,6A,11A)",241,1
"(3A,6A,10A)",210,1,"(3A,6A,15B)",230,1
"(3A,6A,15A)",230,1,"(3A,6A,6B)",243,1
"(3A,4A,12A)",20,1,"(3A,4A,14B)",22,1
"(3A,4A,14A)",22,1,"(3A,4A,11A)",32,1
"(3A,4A,10A)",14,1,"(3A,4A,15B)",24,1
"(3A,4A,15A)",24,1,"(3A,4A,6B)",15,1
"(3A,7B,8A)",64,1,"(3A,7B,7B)",13,1
"(3A,7A,8A)",64,1,"(3A,7A,7B)",16,1
"(3A,7A,7A)",13,1,"(3A,5A,12A)",112,1
"(3A,5A,14B)",58,1,"(3A,5A,14A)",58,1
"(3A,5A,11A)",50,1,"(3A,5A,10A)",69,1
"(3A,5A,15B)",51,1,"(3A,5A,15A)",51,1
"(3A,5A,6B)",66,1,"(3A,4C,8A)",69,1
"(3A,4C,7B)",26,1,"(3A,4C,7A)",26,1
"(3A,4C,4C)",10,1,"(3A,3B,12A)",40,1
"(3A,3B,14B)",30,1,"(3A,3B,14A)",30,1
"(3A,3B,11A)",27,1,"(3A,3B,10A)",21,1
"(3A,3B,15B)",20,1,"(3A,3B,15A)",20,1
"(3A,3B,6B)",10,1,"(5A,6A,6A)",2362,1
"(4A,5A,6A)",191,1,"(4A,4A,5A)",8,1
"(5A,5A,6A)",673,1,"(2A,2B,4B,4B)",1,10852
"(4A,5A,5A)",84,1,"(5A,5A,5A)",138,1
"(3B,6A,6A)",576,1,"(3B,4A,6A)",34,1
"(3B,5A,6A)",227,1,"(3B,4A,5A)",22,1
"(3B,5A,5A)",76,1,"(3B,3B,6A)",28,1
"(3B,3B,5A)",6,1,"(2B,8A,8A)",92,1
"(2B,4B,21B)",12,1,"(2B,4B,21A)",12,1
"(2B,4B,23B)",7,1,"(2B,4B,23A)",7,1
"(2B,4B,12B)",19,1,"(2B,6A,12A)",70,1
"(2B,6A,14B)",70,1,"(2B,6A,14A)",70,1
"(2B,6A,11A)",80,1,"(2B,6A,10A)",34,1
"(2B,6A,15B)",69,1,"(2B,6A,15A)",69,1
"(2B,6A,6B)",30,1,"(2B,4A,14B)",3,1
"(2B,4A,14A)",3,1,"(2B,4A,15B)",3,1
"(2B,4A,15A)",3,1,"(2B,7B,8A)",32,1
"(2B,7B,7B)",6,1,"(2B,7A,8A)",32,1
"(2B,7A,7B)",17,1,"(2B,7A,7A)",6,1
"(2B,5A,12A)",21,1,"(2B,5A,14B)",20,1
"(2B,5A,14A)",20,1,"(2B,5A,11A)",34,1
"(2B,5A,10A)",10,1,"(2B,5A,15B)",27,1
"(2B,5A,15A)",27,1,"(2B,5A,6B)",14,1
"(2B,4C,8A)",12,1,"(2B,4C,7B)",4,1
"(2B,4C,7A)",4,1,"(2B,3B,14B)",4,1
"(2B,3B,14A)",4,1,"(2B,3B,15B)",3,1
"(2B,3B,15A)",3,1,"(2A,7B,21A)",3,1
"(2A,2A,4B,8A)",1,19960,"(2A,2A,4B,7A)",1,5313
"(2A,2A,4B,7A)",1,5313,"(2A,2A,4B,4C)",1,5104
"(2A,2A,6A,6A)",2,"84012, 960","(2A,2A,4A,6A)",1,7044
"(2A,2A,4A,4A)",1,384,"(2A,2A,2A,2A,6A)",1,989280
"(2A,2A,2A,2A,4A)",1,74496,"(2A,2B,4B,6A)",1,86610
"(2A,2A,2A,2A,5A)",1,342600,"(2A,2A,2A,2A,3B)",1,75816
"(2A,2A,2A,3A,3A)",1,35060,"(2A,2A,2A,2B,3A)",1,85986
"(2A,2A,2A,2B,2B)",2,"10896, 37506","(2A,2A,3A,12A)",1,3876
"(2A,2A,3A,14A)",1,2366,"(2A,2A,3A,14B)",1,2366
"(2A,2A,3A,11A)",1,2926,"(2A,2A,3A,10A)",1,2130
"(2A,2A,3A,15A)",1,2400,"(2A,2A,3A,15B)",1,2400
"(2A,2A,3A,6B)",1,2397,"(2A,2A,5A,6A)",2,"48480, 27330"
"(2A,2A,4A,5A)",1,2000,"(2A,2A,5A,5A)",2,"8,280,340"
"(2A,2A,3B,6A)",1,6744,"(2A,2A,3B,4A)",1,504
"(2A,2A,3B,5A)",1,2505,"(2A,2A,3B,3B)",1,258
"(2A,2A,2B,14A)",1,812,"(2A,2A,2B,14B)",1,812
"(2A,2A,2B,11A)",1,913,"(2A,2A,2B,12A)",1,720
"(2A,2A,2B,10A)",1,720,"(2A,2A,2B,15A)",1,750
"(2A,2A,2B,15B)",1,750,"(2A,2A,2B,6B)",1,360
"(2A,3A,3A,6A)",1,27024,"(2A,3A,3A,4A)",1,2172
"(2A,3A,3A,5A)",1,8430,"(2A,3A,3A,3B)",1,2592
"(2A,2B,3A,4A)",1,336,"(2A,2B,3A,6A)",1,7836
"(2A,2B,3A,5A)",1,2775,"(2A,2B,3A,3B)",1,552
"(2B,2B,3A,3A)",1,290,"(2B,3A,3A,3A)",1,3220
"(2A,2B,2B,5A)",1,340,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3B,12A)",8,1,"(2B,4A,7A)",4,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3B,7A)",10,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2C,4C,8A)",6,1,"(2C,4B,10A)",5,1
"(2C,3B,24A)",2,1,"(2C,3B,24B)",2,1
"(2A,2C,2C,3B)",1,141,"(2C,4A,12B)",1,1
"(2C,4C,6B)",5,1,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,3A,11A)",3,1,"(2B,3A,11B)",3,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2B,2C,2C,5A)",1,1,"(2C,4F,11B)",3,1
"(2D,4E,8B)",10,1,"(2D,4E,7A)",10,1
"(2D,3A,20D)",2,1,"(2D,3A,20E)",2,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(6A,6A,6A)",36,1,"(3A,6A,11A)",4,1
"(3A,6A,11B)",4,1,"(3A,8A,11A)",5,1
"(3A,8B,11B)",5,1,"(3A,8B,11A)",5,1
"(3A,8A,11B)",5,1,"(3A,5A,11A)",5,1
"(3A,5A,11B)",5,1,"(6A,6A,8A)",28,1
"(6A,6A,8B)",28,1,"(8A,8A,8A)",14,1
"(8A,8A,8B)",14,1,"(8A,8B,8B)",14,1
"(8B,8B,8B)",14,1,"(6A,8A,8A)",12,1
"(6A,8A,8B)",28,1,"(6A,8B,8B)",12,1
"(4A,6A,11A)",18,1,"(4A,6A,11B)",18,1
"(4A,8A,11A)",11,1,"(4A,8A,11B)",11,1
"(4A,8B,11A)",11,1,"(4A,8B,11B)",11,1
"(4A,5A,11A)",18,1,"(4A,5A,11B)",18,1
"(2A,11A,11A)",1,1,"(2A,11B,11B)",1,1
"(5A,5A,5A)",24,1,"(5A,64,6A)",34,1
"(5A,6A,8A)",33,1,"(5A,6A,8B)",33,1
"(5A,8A,8A)",23,1,"(5A,8A,8B)",23,1
"(5A,8B,8B)",23,1,"(5A,5A,6A)",38,1
"(5A,5A,8A)",36,1,"(5A,5A,8B)",36,1
"(3A,3A,3A,3A)",1,288,"(3A,3A,3A,4A)",1,1104
"(3A,3A,4A,4A)",2,"2128, 92","(3A,4A,4A,4A)",1,4428
"(4A,4A,4A,4A)",5,"2880, 4776, 168,168,168","(2A,3A,3A,6A)",1,444
"(2A,3A,3A,8A)",1,450,"(2A,3A,3A,8B)",1,450
"(2A,3A,3A,5A)",1,385,"(2A,3A,4A,6A)",1,1417
"(2A,3A,4A,8A)",1,951,"(2A,3A,4A,8B)",1,951
"(2A,3A,4A,5A)",1,1525,"(2A,4A,4A,6A)",1,3016
"(2A,4A,4A,8A)",1,1940,"(2A,4A,4A,8B)",1,1940
"(2A,4A,4A,5A)",1,3150,"(2A,2A,6A,6A)",1,708
"(2A,2A,3A,11A)",1,77,"(2A,2A,3A,11B)",1,77
"(2A,2A,6A,8A)",1,566,"(2A,2A,6A,8B)",1,566
"(2A,2A,8A,8A)",2,"272,48","(2A,2A,8A,8B)",1,436
"(2A,2A,4A,11A)",1,286,"(2A,2A,4A,11B)",1,286
"(2A,2A,2A,3A,3A)",1,8280,"(2A,2A,2A,4A,4A)",1,57720
"(2A,2A,2A,3A,4A)",1,27204,"(2A,2A,2A,2A,6A)",1,15228
"(2A,2A,2A,2A,8A)",1,10944,"(2A,2A,2A,2A,8B)",1,10944
"(2A,2A,2A,2A,2A,2A)",1,229680,"(2A,2A,2A,2A,5A)",1,12000
"(2A,2A,5A,6A)",1,680,"(2A,2A,5A,8A)",1,630
"(2A,2A,5A,8B)",1,630,"(2A,2A,5A,5A)",1,570
"(2A,2A,8B,8B)",2,"272, 48",,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(5A,5A,11A)",17,1,"(5A,5A,11B)",17,1
"(5A,5A,8A)",36,1,"(5A,5A,8B)",36,1
"(5A,6A,11A)",20,1,"(5A,6A,11B)",20,1
"(5A,6A,8A)",33,1,"(5A,6A,8B)",33,1
"(6A,6A,11A)",13,1,"(6A,6A,11B)",13,1
"(6A,6A,8A)",28,1,"(6A,6A,8B)",28,1
"(3A,11A,11A)",5,1,"(3A,11A,11B)",2,1
"(3A,11B,11B)",5,1,"(3A,8A,11A)",5,1
"(3A,8A,11B)",5,1,"(3A,8B,11A)",5,1
"(3A,8B,11B)",5,1,"(3A,8A,8A)",3,1
"(3A,8A,8B)",7,1,"(3A,8B,8B)",3,1
"(4A,5A,11A)",18,1,"(4A,5A,11B)",18,1
"(4A,5A,8A)",17,1,"(4A,5A,8B)",17,1
"(4A,6A,11A)",18,1,"(4A,6A,11B)",18,1
"(4A,6A,8A)",18,1,"(4A,6A,8B)",18,1
"(4A,4A,11A)",7,1,"(4A,4A,11B)",7,1
"(4A,4A,8A)",4,1,"(4A,4A,8B)",4,1
"(3A,3A,3A,5A)",1,1155,"(3A,3A,3A,6A)",1,1494
"(3A,3A,3A,4A)",1,1104,"(2A,3A,5A,5A)",1,1850
"(2A,3A,5A,6A)",1,2010,"(2A,3A,6A,6A)",1,1791
"(2A,3A,3A,11A)",1,286,"(2A,3A,3A,11B)",1,286
"(2A,3A,3A,8A)",1,450,"(2A,3A,3A,8B)",1,450
"(2A,3A,4A,5A)",1,1525,"(2A,3A,4A,6A)",1,1417
"(2A,3A,4A,4A)",1,708,"(2A,2A,5A,11A)",1,385
"(2A,2A,5A,11B)",1,385,"(2A,2A,5A,8A)",1,630
"(2A,2A,5A,8B)",1,630,"(2A,2A,6A,11A)",1,352
"(2A,2A,6A,11B)",1,352,"(2A,2A,6A,8A)",1,566
"(2A,2A,6A,8B)",1,566,"(2A,2A,3A,3A,3A)",1,26856
"(2A,2A,4A,11A)",1,286,"(2A,2A,4A,11B)",1,286
"(2A,2A,4A,8A)",1,304,"(2A,2A,4A,8B)",1,304
"(2A,2A,2A,3A,5A)",1,37200,"(2A,2A,2A,3A,6A)",1,35496
"(2A,2A,2A,3A,4A)",1,27204,"(2A,2A,2A,2A,11A)",1,6897
"(2A,2A,2A,2A,11B)",1,6897,"(2A,2A,2A,2A,8A)",1,10944
"(2A,2A,2A,2A,8B)",1,10944,"(2A,2A,2A,2A,2A,3A)",1,692280
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(8B,8B,11A)",92,1,"(8B,8B,11B)",92,1
"(8A,8B,8B)",180,1,"(6A,8B,8B)",104,1
"(8B,8B,10A)",120,1,"(4B,11B,11B)",16,1
"(4B,11A,11B)",16,1,"(4B,11A,11A)",16,1
"(4B,8A,11B)",33,1,"(4B,8A,11A)",33,1
"(4B,8A,8A)",44,1,"(4B,6A,11A)",22,1
"(4B,6A,11B)",22,1,"(4B,6A,8B)",46,1
"(4B,6A,6A)",22,1,"(4B,10A,11B)",26,1
"(4B,10A,11A)",26,1,"(4B,10A,8A)",47,1
"(4B,6A,10A)",28,1,"(6B,8B,11B)",150,1
"(6B,8B,11A)",150,1,"(6B,8A,8B)",260,1
"(6A,6B,8B)",162,1,"(6B,8B,10A)",186,1
"(6B,6B,11B)",211,1,"(6B,6B,11A)",211,1
"(6B,6B,8A)",256,1,"(6A,6B,6B)",230,1
"(6B,6B,10A)",268,1,"(3A,11B,11B)",12,1
"(3A,11A,11A)",12,1,"(3A,8A,11B)",10,1
"(3A,8A,11A)",10,1,"(3A,8A,8A)",6,1
"(3A,6A,11B)",15,1,"(3A,6B,11A)",15,1
"(3A,6B,8A)",18,1,"(3A,6A,6A)",14,1
"(3A,10A,11B)",14,1,"(3A,10A,11A)",14,1
"(3A,10A,8A)",18,1,"(3A,6A,10A)",24,1
"(3A,10A,10A)",14,1,"(3B,8B,11B)",28,1
"(3A,8B,11A)",28,1,"(3B,8A,8B)",52,1
"(3B,6A,8B)",28,1,"(3B,8B,10A)",32,1
"(3B,6B,11B)",40,1,"(3B,6B,11A)",40,1
"(3B,6B,8A)",50,1,"(3B,6A,6B)",36,1
"(3B,6B,10A)",44,1,"(3B,3B,11B)",7,1
"(3B,3B,11A)",7,1,"(3B,3B,8A)",8,1
"(3B,3B,10A)",4,1,"(4A,8B,11B)",33,1
"(4A,8B,11A)",33,1,"(4A,8A,8B)",36,1
"(4A,6A,8B)",46,1,"(4A,8B,10A)",47,1
"(4A,6A,11B)",27,1,"(4A,6B,11A)",27,1
"(4A,6A,6B)",39,1,"(4A,6B,10A)",39,1
"(3B,4A,11B)",8,1,"(3B,4A,11A)",8,1
"(3B,4A,8A)",5,1,"(3B,4A,6A)",7,1
"(3B,4A,10A)",10,1,"(4A,4A,11A)",1,1
"(4A,4A,11B)",1,1,"(4A,4A,6A)",2,1
"(4A,4A,10A)",2,1,"(5A,8B,11A)",72,1
"(5A,8B,11A)",2,1,"(5A,8A,8B)",120,1
"(5A,6A,8B)",100,1,"(5A,8B,10A)",112,1
"(5A,6B,11B)",100,1,"(5A,6B,11A)",100,1
"(5A,6B,8A)",132,1,"(5A,6A,6B)",132,1
"(5A,6B,10A)",156,1,"(3B,5A,11B)",19,1
"(3B,5A,11A)",19,1,"(3B,5A,8A)",22,1
"(3B,5A,6A)",22,1,"(3B,5A,10A)",28,1
"(4A,5A,11B)",10,1,"(4A,5A,11B)",10,1
"(4A,5A,8A)",7,1,"(4A,5A,6A)",19,1
"(4A,5A,10A)",22,1,"(5A,5A,11B)",30,1
"(5A,5A,11A)",30,1,"(5A,5A,8A)",48,1
"(5A,5A,6A)",58,1,"(5A,5A,10A)",68,1
"(2A,11A,11B)",8,1,"(2A,8A,11B)",4,1
"(2A,8A,11A)",4,1,"(2A,8A,8A)",4,1
"(2A,6A,11B)",1,1,"(2A,6A,11A)",1,1
"(2A,6A,8A)",4,1,"(2A,10A,11B)",4,1
"(2A,10A,11A)",4,1,"(2A,10A,10A)",6,1
"(2A,8A,10A)",5,1,"(4B,10A,10A)",31,1
"(4A,6B,8A)",16,1,"(4B,4B,4B,8B)",1,14744
"(4B,4B,4B,6B)",1,26568,"(3B,4B,4B,4B)",1,6075
"(4A,4B,4B,4B)",1,6478,"(4B,4B,4B,5A)",1,11665
"(3A,4B,4B,8B)",1,10560,"(3A,4B,4B,6B)",1,18276
"(3A,3B,4B,4B)",1,3750,"(3A,4A,4B,4B)",1,4446
"(3A,4B,4B,5A)",1,8790,"(3A,3A,4B,8B)",1,7824
"(3A,3A,4B,6B)",1,11952,"(3A,3A,3B,4B)",1,2484
"(3A,3A,4A,4B)",1,2100,"(3A,3A,4B,5A)",1,5760
"(3A,3A,3A,8B)",2,"2328, 2328","(3A,3A,3A,6B)",1,"2376, 3744"
"(3A,3A,3A,3B)",2,"774, 486","(3A,3A,3A,4A)",1,792
"(2B,4B,8A,8A)",1,13764,"(2B,4B,4B,11B)",1,2431
"(2B,4B,4B,11A)",1,2431,"(2B,4B,4B,8A)",1,17776
"(2B,4B,4B,6A)",1,2874,"(2B,4B,4B,10A)",1,3240
"(2B,4B,6B,8B)",1,22624,"(2B,4B,6B,6B)",1,34978
"(2B,3B,4B,8B)",1,624,"(2B,3B,4B,6B)",1,6696
"(2B,3A,3A,10A)",2,"650, 650","(2B,3A,3B,8B)",2,"1477, 1477"
"(2B,3A,3B,6B)",2,"2088, 1876","(2B,3A,3B,3B)",2,"296, 432"
"(2B,3A,4A,8B)",2,"2722, 1876","(2B,3A,4A,6B)",1,2816
"(2B,3A,3B,4A)",1,670,"(2B,3A,4A,4A)",1,240
"(2B,3A,5A,8B)",1,1310,"(2B,3A,5A,6B)",2,"58,503,910"
"(2B,2B,4A,11A)",1,396,"(2B,3A,5A,4A)",2,"37,203,720"
"(2B,2B,4A,6A)",1,522,"(2B,2B,8B,11B)",2,"10,781,078"
"(2B,2B,2B,3B,4B)",1,99720,"(2B,2B,8A,8B)",3,"1,944,992,384"
"(2B,2B,6A,8B)",1,25208,"(2B,2B,8B,10A)",2,"1390, 1390"
"(2B,2B,4B,4B,4B)",1,424280,"(2B,2B,6B,11B)",2,"1166, 1782"
"(2B,2B,6B,11A)",2,"1166, 1782","(2B,2B,6B,8A)",2,"18,641,864"
"(2B,2B,6A,6B)",1,3456,"(2B,2B,6B,10A)",2,"20,402,040"
"(2B,2B,3A,4B,4B)",1,288928,"(2B,2B,3A,3A,4B)",1,179048
"(2B,2B,5A,10A)",1,1030,"(2B,2B,3B,11B)",2,"363, 264"
"(2B,2B,3B,11A)",2,"363, 264","(2B,2B,3B,8A)",2,"396,396"
"(2B,2B,3B,6A)",1,640,"(2B,2B,3B,10A)",2,"390, 390"
"(2B,2B,4A,11B)",1,396,"(2B,3A,3B,5A)",2,"1080, 1100"
"(2B,2B,4A,8A)",1,288,"(2B,3A,5A,5A)",2,"1360, 3360"
"(2B,2B,4A,10A)",1,540,"(2B,2B,2B,4B,8B)",1,353568
"(2B,2B,2B,4B,6B)",1,518472,"(2B,2B,8B,11A)",2,"1078, 1078"
"(2B,2B,2B,4B,5A)",1,278100,"(2B,2B,2B,3A,8B)",2,"108984, 108984"
"(2A,2B,4B,8A)",1,756,"(2B,2B,2B,3A,3B)",2,"27864, 28692"
"(2B,2B,2B,3A,4A)",1,42000,"(2B,2B,2B,3A,5A)",2,"93600, 55200"
"(2A,2B,4B,11B)",1,539,"(2B,2B,2B,2B,11A)",2,"25168, 16698"
"(2B,2B,2B,2B,8A)",2,"26880, 26880","(2B,2B,2B,2B,6A)",1,46944
"(2A,2B,2B,2B,2B,2B)",1,1247232,"(2B,2B,2B,2B,10A)",2,"28000, 28000"
"(2A,2B,2B,2B,8B)",1,58432,"(2A,2B,2B,2B,6B)",1,83088
"(2A,2B,2B,2B,3B)",1,14400,"(2A,2B,2B,2B,4A)",1,12768
"(2A,2B,2B,2B,5A)",1,48080,"(2B,2B,5A,11B)",2,880495
"(2B,2B,5A,11A)",2,"880, 495","(2B,2B,5A,8A)",2,"900, 900"
"(2B,2B,5A,6A)",1,1740,"(2B,2B,3A,3A,3A)",2,"33384, 61520"
"(2A,2B,2B,4B,4B)",1,82656,"(2A,2B,2B,3A,4B)",1,51828
"(2A,2B,2B,3A,3A)",1,3106,"(2A,2A,2B,2B,3A)",1,6444
"(2A,2A,2A,2B,2B)",1,1520,"(2A,2A,2B,2B,4B)",1,11488
"(2A,2B,8B,8B)",1,2860,"(2B,2B,2B,2B,11B)",2,"25168, 16698"
"(2A,2B,4B,11A)",1,539,"(2B,2B,2B,3A,6B)",2,"118368, 162168"
"(2A,2B,4B,6A)",1,525,"(2A,2B,4B,10A)",1,580
"(2A,2B,6B,8B)",1,3894,"(2A,2B,6B,6B)",1,5400
"(2A,2B,3A,11B)",1,330,"(2A,2B,3A,11A)",1,330
"(2A,2B,3A,8B)",1,372,"(2A,2B,3A,6A)",1,330
"(2A,2B,3A,10A)",1,330,"(2A,2B,3B,8A)",1,688
